instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
BSE_FO|885682,885682,BANKEX26MAY51400CE,BANKEX,0.0,2026-05-27,51400.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|886138,886138,BANKEX26MAY51400PE,BANKEX,0.0,2026-05-27,51400.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|886321,886321,BANKEX26MAY51500CE,BANKEX,0.0,2026-05-27,51500.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|886726,886726,BANKEX26MAY51500PE,BANKEX,20.05,2026-05-27,51500.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|885775,885775,BANKEX26MAY51600CE,BANKEX,0.0,2026-05-27,51600.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|886262,886262,BANKEX26MAY51600PE,BANKEX,0.0,2026-05-27,51600.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|886426,886426,BANKEX26MAY51700CE,BANKEX,0.0,2026-05-27,51700.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|886862,886862,BANKEX26MAY51700PE,BANKEX,0.0,2026-05-27,51700.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|885930,885930,BANKEX26MAY51800CE,BANKEX,0.0,2026-05-27,51800.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|886372,886372,BANKEX26MAY51800PE,BANKEX,0.0,2026-05-27,51800.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|886557,886557,BANKEX26MAY51900CE,BANKEX,0.0,2026-05-27,51900.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|885826,885826,BANKEX26MAY51900PE,BANKEX,0.0,2026-05-27,51900.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|885720,885720,BANKEX26MAY52000CE,BANKEX,0.0,2026-05-27,52000.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|885184,885184,BANKEX26MAY52000PE,BANKEX,0.0,2026-05-27,52000.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|885336,885336,BANKEX26MAY52100CE,BANKEX,0.0,2026-05-27,52100.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|885665,885665,BANKEX26MAY52100PE,BANKEX,0.0,2026-05-27,52100.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|886742,886742,BANKEX26MAY52200CE,BANKEX,0.0,2026-05-27,52200.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|885282,885282,BANKEX26MAY52200PE,BANKEX,0.0,2026-05-27,52200.0,0.05,30.0,OPTIDX,PE,BSE_FO
